,median,p2.5,p97.5,epicurve,loglk,AIC
delayCV,0.5240529588841621,0.4752300978276733,0.5858766048620447,2018-10-20,-479.31084374942765,962.6216874988553
delaymean,11.173930466033017,10.232050049972068,12.114856599772697,2018-10-21,-498.57748662162294,1001.1549732432459
delaysd,6.092695700788252,5.329266429806187,6.97142104989543,2018-10-21,-498.57748662162294,1001.1549732432459
delayCV,0.5453330102253722,0.493865867491112,0.6084934337172669,2018-10-21,-498.57748662162294,1001.1549732432459
delaymean,11.20285575619411,10.284755158807517,12.118402745622236,2018-10-23,-531.6449459423696,1067.2898918847393
delaysd,6.057760805718191,5.325175858563561,6.900941798230325,2018-10-23,-531.6449459423696,1067.2898918847393
delayCV,0.5407280757958314,0.4913176318571496,0.5998390247084407,2018-10-23,-531.6449459423696,1067.2898918847393
delaymean,11.169520516996865,10.323551926352634,11.989850858512796,2018-10-27,-570.2619299466008,1144.5238598932017
delaysd,5.781611606651729,5.1412336280653825,6.533260719353916,2018-10-27,-570.2619299466008,1144.5238598932017
delayCV,0.5176335781271495,0.47430179467987943,0.5693399676717923,2018-10-27,-570.2619299466008,1144.5238598932017
delaymean,11.147726111279084,10.374790508448255,11.91938667541175,2018-10-28,-610.302000765788,1224.604001531576
delaysd,5.625904549373077,5.021969784294754,6.30717940771302,2018-10-28,-610.302000765788,1224.604001531576
delayCV,0.5043634817931375,0.46437927587515226,0.5534930924513435,2018-10-28,-610.302000765788,1224.604001531576
delaymean,11.313370095023977,10.54144547801375,12.100954335167502,2018-10-30,-640.783988068299,1285.567976136598
delaysd,5.759886004620384,5.183058484674316,6.456961744488013,2018-10-30,-640.783988068299,1285.567976136598
delayCV,0.509234028708947,0.4700975904458579,0.5574363715425577,2018-10-30,-640.783988068299,1285.567976136598
delaymean,11.281147891269491,10.562174382719716,12.005759064273937,2018-11-04,-672.0213145609216,1348.0426291218432
delaysd,5.777977321857211,5.2008382561726805,6.450450874074977,2018-11-04,-672.0213145609216,1348.0426291218432
delayCV,0.5118364823019652,0.47247394257832226,0.5600450033405127,2018-11-04,-672.0213145609216,1348.0426291218432
delaymean,11.247803028212982,10.521563823086344,11.957961535636288,2018-11-06,-708.4122605960956,1420.8245211921912
delaysd,5.779160505694906,5.201866032387223,6.437375049950003,2018-11-06,-708.4122605960956,1420.8245211921912
delayCV,0.513809008506722,0.4731396265081543,0.563147337799238,2018-11-06,-708.4122605960956,1420.8245211921912
delaymean,11.67524021288327,11.023547244922474,12.322208158181358,2018-11-10,-776.3094840902588,1556.6189681805176
delaysd,6.078976232033671,5.570373089958823,6.659934657169033,2018-11-10,-776.3094840902588,1556.6189681805176
delayCV,0.5207192654362232,0.48710929924096635,0.5607752460134594,2018-11-10,-776.3094840902588,1556.6189681805176
delaymean,11.834796638210063,11.162340437903646,12.495398287398215,2018-11-11,-931.6023356103567,1867.2046712207134
delaysd,6.22047105587704,5.693172963146439,6.823639447337233,2018-11-11,-931.6023356103567,1867.2046712207134
delayCV,0.5256506222844068,0.4923679927838718,0.5646257393628745,2018-11-11,-931.6023356103567,1867.2046712207134
delaymean,12.020174259589844,11.344437312405754,12.701528479152305,2018-11-13,-978.3580403998943,1960.7160807997886
delaysd,6.684281555031935,6.141234481898797,7.303526647747653,2018-11-13,-978.3580403998943,1960.7160807997886
