,median,p2.5,p97.5,epicurve,loglk,AIC,switch_t,switch
delaysd__0,5.791426172658276,5.299112589714866,6.353674216041795,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
delaysd__1,9.268044511552773,8.457660380633474,10.222080009974198,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
delayCV__0,0.4984078647162583,0.4636534277799513,0.5391581226139834,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
delayCV__1,0.7977593314815542,0.7381392363944308,0.8676570410359812,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
delaymean,11.628695363768355,11.048324368268705,12.200712664169044,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
k__0,2.097516678900238,1.926994098733601,2.2699697415304407,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
k__1,1.2002952357047725,1.105652031267731,1.2928750055849634,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
delaysd__0,5.820491330128797,5.327235943658116,6.382080015304084,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
delaysd__1,9.729020714542962,8.903276441096697,10.653738007204508,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
delayCV__0,0.5008205327503327,0.4665465723024187,0.540530222210674,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
delayCV__1,0.8367054388836674,0.7797450220091567,0.9056820966402578,2018-12-02,-1291.9061231666594,2591.812246333319,189,2018-11-05
delaymean,11.897772807836896,11.342541030324758,12.461573543644958,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
k__0,2.1141356388215025,1.948973909736494,2.2799030952227763,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
k__1,1.3386054900825528,1.2571125598047554,1.4192807304894535,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
delaysd__0,5.9143796745390205,5.444921833814237,6.445091268419839,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
delaysd__1,8.97332759718272,8.356735993288861,9.67652736242188,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
delayCV__0,0.49728316437722964,0.4647243310331015,0.5350321417433176,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
delayCV__1,0.7546915556838942,0.7146103972982185,0.8006850910363738,2018-12-16,-1821.8630348242414,3651.7260696484827,189,2018-11-05
delaymean,11.92494947210518,11.424795470703193,12.41697773538962,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
k__0,2.1020368454286538,1.942023927658504,2.2599443320573336,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
k__1,1.3738091441644043,1.3015643293863968,1.445869670406527,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
delaysd__0,5.959833747515997,5.524540555899228,6.4720474690610565,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
delaysd__1,8.78562806295307,8.237091180179544,9.383643045206163,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
delayCV__0,0.4998530564997097,0.4684012656153181,0.5367574796268036,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
delayCV__1,0.7365977478203989,0.7024173066984826,0.7748414647581087,2019-01-06,-2376.931710767121,4761.863421534242,189,2018-11-05
delaymean,11.639226072741483,11.234572090987264,12.038213791776979,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
k__0,1.3693086030191455,1.293704731254305,1.4464355209510977,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
k__1,1.9708194250381348,1.887021601368325,2.054049309362553,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
delaysd__0,8.597276086298567,8.086323401468887,9.157758036363923,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
delaysd__1,6.166218667043922,5.856695116170046,6.490597482684806,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
delayCV__0,0.7388566739295056,0.702162849501579,0.7792737788097786,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
